pair,best_mse,data_points,features,alpha,solver
META DAXEX_ETF,0.0027543261633674013,1145,15,1.0,sparse_cg
AMZN BNBUSDT,0.0011532797843531674,4991,16,0.001,lsqr
AMZN TRXUSDT,0.0003760400774245317,4991,9,1.0,lsqr
SPY_ETF AVAXUSDT,0.0070901449296036315,4997,21,0.01,sparse_cg
SPY_ETF ETHUSDT,0.0008711868905313157,4997,16,0.001,svd
EQQQ_ETF BNBUSDT,0.0007151554806500706,3217,13,0.001,sparse_cg
BNBUSDT ADAUSDT,0.00015009090833994416,31051,9,0.01,sag
BNBUSDT BTCUSDT,9.30284566807448e-05,31051,9,0.001,svd
BNBUSDT TRXUSDT,0.00014791991381662436,31051,12,0.1,sag
BNBUSDT XRPUSDT,0.00014963917629661305,31051,12,1.0,sag
