pair,best_mse,data_points,features,num_heads,lookback,dropout_rate,batch_size,ff_dim
META DAXEX_ETF,0.030082453580896937,1145,15,6,5,0.25,32,128
AMZN BNBUSDT,0.01168585535340634,4991,16,2,15,0.25,64,128
AMZN TRXUSDT,0.0028087910783370193,4991,9,2,10,0.25,32,128
SPY_ETF AVAXUSDT,0.036902758083136006,4997,21,4,5,0.25,64,64
SPY_ETF ETHUSDT,0.006406241461433706,4997,16,2,5,0.25,64,128
EQQQ_ETF BNBUSDT,0.02379524019348223,3217,13,4,5,0.25,32,128
BNBUSDT ADAUSDT,0.0011358674797524086,31051,9,4,15,0.25,32,64
BNBUSDT BTCUSDT,0.002062959439521658,31051,9,2,5,0.25,32,64
BNBUSDT TRXUSDT,0.0010446203406827062,31051,12,6,15,0.25,32,64
BNBUSDT XRPUSDT,0.0018562497744552518,31051,12,6,10,0.25,32,64
