pair,best_mse,data_points,features,learning_rate,n_estimators,max_depth
META DAXEX_ETF,0.02658937565268547,1145,15,0.05,50,7
AMZN BNBUSDT,0.0065768970956554115,4991,16,0.1,200,5
AMZN TRXUSDT,0.0006084126286555,4991,9,0.05,200,5
SPY_ETF AVAXUSDT,0.3232258662604099,4997,21,0.05,200,7
SPY_ETF ETHUSDT,0.0035113118337924644,4997,16,0.1,200,5
EQQQ_ETF BNBUSDT,0.028995064284424308,3217,13,0.1,200,5
BNBUSDT ADAUSDT,0.00015907038500297856,31051,9,0.1,200,5
BNBUSDT BTCUSDT,0.0001491376691642117,31051,9,0.1,200,9
BNBUSDT TRXUSDT,0.00013465370209287316,31051,12,0.1,200,5
BNBUSDT XRPUSDT,0.00010822554556156199,31051,12,0.1,200,5
